,participantId,gameId,championId,spell1Id,spell2Id
240,1,3406556578,516,4,12
241,2,3406556578,21,7,4
242,3,3406556578,63,11,4
243,4,3406556578,112,4,12
244,5,3406556578,37,14,4
490,6,3406556578,245,4,11
491,7,3406556578,81,7,4
492,8,3406556578,22,12,4
493,9,3406556578,111,14,4
494,10,3406556578,53,14,4
245,1,3406570551,22,12,4
246,2,3406570551,131,14,4
247,3,3406570551,142,4,14
248,4,3406570551,203,4,11
249,5,3406570551,61,4,3
495,6,3406570551,421,4,11
496,7,3406570551,268,21,4
497,8,3406570551,134,4,7
498,9,3406570551,555,14,4
499,10,3406570551,236,4,12
230,1,3407175583,4,4,12
231,2,3407175583,104,4,11
232,3,3407175583,201,3,4
233,4,3407175583,81,7,4
234,5,3407175583,86,12,4
480,6,3407175583,25,12,4
481,7,3407175583,134,4,14
482,8,3407175583,202,4,7
483,9,3407175583,245,11,4
484,10,3407175583,53,14,4
235,1,3407231348,131,14,4
236,2,3407231348,96,7,4
237,3,3407231348,875,14,4
238,4,3407231348,61,21,4
239,5,3407231348,11,4,11
485,6,3407231348,81,4,7
486,7,3407231348,54,4,12
487,8,3407231348,35,11,14
488,9,3407231348,25,14,4
489,10,3407231348,555,4,14
225,1,3408836408,101,4,21
226,2,3408836408,33,4,11
227,3,3408836408,131,12,4
228,4,3408836408,81,4,7
229,5,3408836408,350,14,3
475,6,3408836408,41,12,4
476,7,3408836408,51,7,4
477,8,3408836408,76,11,4
478,9,3408836408,63,14,4
479,10,3408836408,18,14,4
220,1,3408871309,33,4,11
221,2,3408871309,114,14,4
222,3,3408871309,268,4,12
223,4,3408871309,412,4,14
224,5,3408871309,110,7,4
470,6,3408871309,131,12,4
471,7,3408871309,8,4,14
472,8,3408871309,141,11,4
473,9,3408871309,16,21,4
474,10,3408871309,145,7,4
215,1,3408878574,238,14,4
216,2,3408878574,30,11,4
217,3,3408878574,12,14,4
218,4,3408878574,131,12,4
219,5,3408878574,222,7,4
465,6,3408878574,91,4,14
466,7,3408878574,429,4,7
467,8,3408878574,20,4,11
468,9,3408878574,89,14,4
469,10,3408878574,7,14,4
210,1,3409106485,12,7,4
211,2,3409106485,119,1,4
212,3,3409106485,41,4,12
213,4,3409106485,104,11,4
214,5,3409106485,38,4,14
460,6,3409106485,516,4,12
461,7,3409106485,64,4,11
462,8,3409106485,131,14,4
463,9,3409106485,222,7,4
464,10,3409106485,89,4,14
200,1,3409308595,141,4,11
201,2,3409308595,16,4,14
202,3,3409308595,17,4,14
203,4,3409308595,157,14,4
204,5,3409308595,67,4,7
450,6,3409308595,131,11,4
451,7,3409308595,222,7,4
452,8,3409308595,91,4,14
453,9,3409308595,54,14,4
454,10,3409308595,25,14,4
205,1,3409331421,69,4,14
206,2,3409331421,60,4,11
207,3,3409331421,75,12,4
208,4,3409331421,429,4,7
209,5,3409331421,53,4,14
455,6,3409331421,13,4,12
456,7,3409331421,5,4,11
457,8,3409331421,131,14,4
458,9,3409331421,222,7,4
459,10,3409331421,89,4,14
195,1,3409377141,22,6,4
196,2,3409377141,8,4,14
197,3,3409377141,82,4,14
198,4,3409377141,75,4,12
199,5,3409377141,104,4,11
445,6,3409377141,157,3,4
446,7,3409377141,59,11,4
447,8,3409377141,517,12,4
448,9,3409377141,143,14,4
449,10,3409377141,86,14,4
190,1,3409443436,81,4,7
191,2,3409443436,267,4,14
192,3,3409443436,8,14,4
193,4,3409443436,131,14,4
194,5,3409443436,19,11,4
440,6,3409443436,75,12,4
441,7,3409443436,21,3,4
442,8,3409443436,115,21,4
443,9,3409443436,154,11,4
444,10,3409443436,235,4,7
185,1,3410140699,29,4,7
186,2,3410140699,23,4,14
187,3,3410140699,143,14,4
188,4,3410140699,61,4,14
189,5,3410140699,113,11,4
435,6,3410140699,131,14,4
436,7,3410140699,420,4,12
437,8,3410140699,111,14,4
438,9,3410140699,141,4,11
439,10,3410140699,145,4,3
175,1,3410149238,13,21,4
176,2,3410149238,350,3,7
177,3,3410149238,19,11,4
178,4,3410149238,41,12,4
179,5,3410149238,236,14,4
425,6,3410149238,21,7,4
426,7,3410149238,89,4,14
427,8,3410149238,157,14,4
428,9,3410149238,117,4,14
429,10,3410149238,254,4,11
180,1,3410154731,21,7,4
181,2,3410154731,517,4,12
182,3,3410154731,133,14,4
183,4,3410154731,63,4,14
184,5,3410154731,245,4,11
430,6,3410154731,131,11,4
431,7,3410154731,111,4,3
432,8,3410154731,875,4,12
433,9,3410154731,104,4,14
434,10,3410154731,67,4,7
170,1,3410205014,498,7,4
171,2,3410205014,350,14,3
172,3,3410205014,141,4,11
173,4,3410205014,134,14,4
174,5,3410205014,67,4,12
420,6,3410205014,555,4,14
421,7,3410205014,133,4,7
422,8,3410205014,48,11,4
423,9,3410205014,103,14,4
424,10,3410205014,420,4,12
165,1,3410267194,131,14,4
166,2,3410267194,518,14,4
167,3,3410267194,154,11,4
168,4,3410267194,245,14,4
169,5,3410267194,58,14,4
415,6,3410267194,105,4,14
416,7,3410267194,2,4,11
417,8,3410267194,81,7,4
418,9,3410267194,117,4,14
419,10,3410267194,150,12,4
160,1,3410343963,54,4,12
161,2,3410343963,131,7,4
162,3,3410343963,518,14,4
163,4,3410343963,203,4,11
164,5,3410343963,90,4,12
410,6,3410343963,41,12,4
411,7,3410343963,50,4,14
412,8,3410343963,45,4,12
413,9,3410343963,59,11,4
414,10,3410343963,22,7,4
155,1,3410470289,516,4,14
156,2,3410470289,235,4,7
157,3,3410470289,126,4,12
158,4,3410470289,79,4,11
159,5,3410470289,157,14,4
405,6,3410470289,81,7,4
406,7,3410470289,117,4,14
407,8,3410470289,518,14,4
408,9,3410470289,420,4,12
409,10,3410470289,245,4,11
150,1,3410505645,150,4,12
151,2,3410505645,20,11,4
152,3,3410505645,236,14,4
153,4,3410505645,40,4,14
154,5,3410505645,67,7,4
400,6,3410505645,51,4,7
401,7,3410505645,117,4,3
402,8,3410505645,120,11,6
403,9,3410505645,518,14,4
404,10,3410505645,420,4,12
145,1,3410543240,104,11,4
146,2,3410543240,82,4,12
147,3,3410543240,117,3,4
148,4,3410543240,29,7,4
149,5,3410543240,45,4,14
395,6,3410543240,90,4,6
396,7,3410543240,28,4,11
397,8,3410543240,202,4,7
398,9,3410543240,518,14,4
399,10,3410543240,420,4,12
135,1,3410606030,40,4,14
136,2,3410606030,22,7,4
137,3,3410606030,11,11,4
138,4,3410606030,131,14,4
139,5,3410606030,420,4,12
385,6,3410606030,8,14,4
386,7,3410606030,25,4,14
387,8,3410606030,104,11,4
388,9,3410606030,41,14,4
389,10,3410606030,145,4,7
140,1,3410649936,2,11,4
141,2,3410649936,245,4,12
142,3,3410649936,16,4,21
143,4,3410649936,22,4,7
144,5,3410649936,412,14,4
390,6,3410649936,53,14,4
391,7,3410649936,517,4,11
392,8,3410649936,119,4,7
393,9,3410649936,133,14,4
394,10,3410649936,420,4,12
125,1,3410785199,117,4,3
126,2,3410785199,6,4,12
127,3,3410785199,131,14,4
128,4,3410785199,222,7,4
129,5,3410785199,35,14,11
375,6,3410785199,67,7,4
376,7,3410785199,64,4,11
377,8,3410785199,45,12,4
378,9,3410785199,102,12,4
379,10,3410785199,25,4,3
130,1,3410800117,131,12,4
131,2,3410800117,81,12,4
132,3,3410800117,114,14,4
133,4,3410800117,235,7,4
134,5,3410800117,2,4,11
380,6,3410800117,102,11,4
381,7,3410800117,103,14,4
382,8,3410800117,222,7,4
383,9,3410800117,412,4,14
384,10,3410800117,54,12,4
120,1,3410850033,53,14,4
121,2,3410850033,24,11,4
122,3,3410850033,21,4,7
123,4,3410850033,75,4,12
124,5,3410850033,55,14,4
370,6,3410850033,32,4,11
371,7,3410850033,518,14,4
372,8,3410850033,222,7,4
373,9,3410850033,25,4,14
374,10,3410850033,67,6,4
115,1,3411719837,498,4,7
116,2,3411719837,104,4,11
117,3,3411719837,82,4,14
118,4,3411719837,432,4,14
119,5,3411719837,3,12,4
365,6,3411719837,150,4,12
366,7,3411719837,131,12,4
367,8,3411719837,222,7,4
368,9,3411719837,12,4,14
369,10,3411719837,254,4,11
110,1,3411756597,103,14,4
111,2,3411756597,222,7,4
112,3,3411756597,267,3,4
113,4,3411756597,107,11,4
114,5,3411756597,82,12,4
360,6,3411756597,51,4,7
361,7,3411756597,43,14,4
362,8,3411756597,106,4,11
363,9,3411756597,23,14,4
364,10,3411756597,7,4,14
100,1,3411839008,235,4,14
101,2,3411839008,6,4,12
102,3,3411839008,28,4,11
103,4,3411839008,67,4,7
104,5,3411839008,8,14,4
350,6,3411839008,86,14,4
351,7,3411839008,350,3,14
352,8,3411839008,57,11,4
353,9,3411839008,103,14,4
354,10,3411839008,222,7,4
105,1,3411841904,202,7,4
106,2,3411841904,24,4,12
107,3,3411841904,42,4,12
108,4,3411841904,9,11,4
109,5,3411841904,25,4,14
355,6,3411841904,37,3,4
356,7,3411841904,103,14,4
357,8,3411841904,222,7,4
358,9,3411841904,59,4,11
359,10,3411841904,58,14,4
95,1,3411885503,111,14,4
96,2,3411885503,81,7,4
97,3,3411885503,104,11,4
98,4,3411885503,98,4,12
99,5,3411885503,136,14,4
345,6,3411885503,37,3,4
346,7,3411885503,86,4,12
347,8,3411885503,48,4,11
348,9,3411885503,103,14,4
349,10,3411885503,222,7,4
90,1,3411981796,131,14,4
91,2,3411981796,222,7,4
92,3,3411981796,61,4,6
93,4,3411981796,141,11,4
94,5,3411981796,37,4,3
340,6,3411981796,555,4,14
341,7,3411981796,122,6,4
342,8,3411981796,236,4,7
343,9,3411981796,154,11,4
344,10,3411981796,268,4,12
85,1,3411998856,141,11,4
86,2,3411998856,40,4,14
87,3,3411998856,268,14,4
88,4,3411998856,131,14,4
89,5,3411998856,222,7,4
335,6,3411998856,39,12,4
336,7,3411998856,523,7,4
337,8,3411998856,76,4,11
338,9,3411998856,42,12,4
339,10,3411998856,235,21,4
80,1,3412055288,33,11,4
81,2,3412055288,245,4,12
82,3,3412055288,164,12,4
83,4,3412055288,267,4,14
84,5,3412055288,21,7,4
330,6,3412055288,133,14,4
331,7,3412055288,222,7,4
332,8,3412055288,44,3,4
333,9,3412055288,11,14,11
334,10,3412055288,103,14,4
75,1,3412131844,50,14,4
76,2,3412131844,23,14,4
77,3,3412131844,79,11,4
78,4,3412131844,17,14,4
79,5,3412131844,236,4,7
325,6,3412131844,131,14,4
326,7,3412131844,222,7,4
327,8,3412131844,40,3,4
328,9,3412131844,141,11,4
329,10,3412131844,99,4,14
65,1,3412176706,59,11,4
66,2,3412176706,131,14,4
67,3,3412176706,420,4,12
68,4,3412176706,555,4,14
69,5,3412176706,21,7,4
315,6,3412176706,54,12,4
316,7,3412176706,104,4,11
317,8,3412176706,13,4,12
318,9,3412176706,12,14,4
319,10,3412176706,18,4,7
70,1,3412190134,157,4,14
71,2,3412190134,81,7,4
72,3,3412190134,117,14,4
73,4,3412190134,75,12,4
74,5,3412190134,80,4,11
320,6,3412190134,12,4,14
321,7,3412190134,21,4,7
322,8,3412190134,131,14,4
323,9,3412190134,38,12,4
324,10,3412190134,254,11,4
60,1,3412225570,86,14,4
61,2,3412225570,61,21,4
62,3,3412225570,80,14,4
63,4,3412225570,163,7,4
64,5,3412225570,77,11,4
310,6,3412225570,131,14,4
311,7,3412225570,420,4,12
312,8,3412225570,236,7,4
313,9,3412225570,412,3,4
314,10,3412225570,24,11,4
50,1,3412306493,131,14,4
51,2,3412306493,101,21,4
52,3,3412306493,429,4,7
53,4,3412306493,245,4,12
54,5,3412306493,48,11,4
300,6,3412306493,24,12,4
301,7,3412306493,110,7,4
302,8,3412306493,497,14,4
303,9,3412306493,38,4,12
304,10,3412306493,421,11,4
55,1,3412310412,122,12,4
56,2,3412310412,89,4,14
57,3,3412310412,51,4,7
58,4,3412310412,134,21,4
59,5,3412310412,121,4,11
305,6,3412310412,350,7,14
306,7,3412310412,20,11,4
307,8,3412310412,96,4,1
308,9,3412310412,245,4,12
309,10,3412310412,131,14,4
40,1,3412376201,145,7,4
41,2,3412376201,89,14,4
42,3,3412376201,68,3,4
43,4,3412376201,141,11,4
44,5,3412376201,131,14,4
290,6,3412376201,113,11,4
291,7,3412376201,115,4,14
292,8,3412376201,122,6,4
293,9,3412376201,18,4,7
294,10,3412376201,105,4,14
45,1,3412391883,222,4,7
46,2,3412391883,154,11,4
47,3,3412391883,45,4,12
48,4,3412391883,131,14,4
49,5,3412391883,43,14,4
295,6,3412391883,37,14,4
296,7,3412391883,81,7,4
297,8,3412391883,266,4,12
298,9,3412391883,7,14,4
299,10,3412391883,120,6,11
35,1,3412430025,22,7,4
36,2,3412430025,40,14,4
37,3,3412430025,8,14,4
38,4,3412430025,59,11,4
39,5,3412430025,16,12,4
285,6,3412430025,154,12,4
286,7,3412430025,235,4,21
287,8,3412430025,81,7,4
288,9,3412430025,104,11,4
289,10,3412430025,68,14,4
30,1,3412765990,20,11,4
31,2,3412765990,81,4,7
32,3,3412765990,412,14,4
33,4,3412765990,34,4,12
34,5,3412765990,58,4,12
280,6,3412765990,161,4,7
281,7,3412765990,104,4,11
282,8,3412765990,51,7,4
283,9,3412765990,131,12,4
284,10,3412765990,16,14,4
25,1,3412773043,81,7,4
26,2,3412773043,43,4,21
27,3,3412773043,58,4,12
28,4,3412773043,106,11,4
29,5,3412773043,157,14,4
275,6,3412773043,127,4,12
276,7,3412773043,117,4,14
277,8,3412773043,254,11,4
278,9,3412773043,420,4,12
279,10,3412773043,96,4,7
20,1,3412836628,2,4,11
21,2,3412836628,131,12,4
22,3,3412836628,235,4,14
23,4,3412836628,22,7,4
24,5,3412836628,55,14,4
270,6,3412836628,86,14,4
271,7,3412836628,64,4,11
272,8,3412836628,18,7,4
273,9,3412836628,115,4,14
274,10,3412836628,89,4,14
10,1,3412939657,222,7,4
11,2,3412939657,103,4,12
12,3,3412939657,106,14,4
13,4,3412939657,21,14,4
14,5,3412939657,59,11,4
260,6,3412939657,131,4,14
261,7,3412939657,202,7,4
262,8,3412939657,86,14,4
263,9,3412939657,102,4,11
264,10,3412939657,161,4,14
15,1,3412945039,67,4,7
16,2,3412945039,235,4,3
17,3,3412945039,266,12,4
18,4,3412945039,154,4,11
19,5,3412945039,268,21,4
265,6,3412945039,111,14,4
266,7,3412945039,55,4,14
267,8,3412945039,19,4,11
268,9,3412945039,498,4,7
269,10,3412945039,75,4,12
5,1,3414381250,412,4,14
6,2,3414381250,122,4,14
7,3,3414381250,20,4,11
8,4,3414381250,29,4,3
9,5,3414381250,131,4,14
255,6,3414381250,267,14,4
256,7,3414381250,58,4,14
257,8,3414381250,154,11,4
258,9,3414381250,103,14,4
259,10,3414381250,222,7,4
0,1,3414404544,61,21,4
1,2,3414404544,21,4,7
2,3,3414404544,201,4,3
3,4,3414404544,64,4,11
4,5,3414404544,17,6,4
250,6,3414404544,110,21,4
251,7,3414404544,222,7,4
252,8,3414404544,101,4,3
253,9,3414404544,157,14,4
254,10,3414404544,48,4,11
